26,1,12
45,1,12
45,30,8
61,1,10
79,1,10
79,32,8
106,1,9
123,8,15
123,31,3
140,1,8
156,12,12
156,29,5
178,1,8
203,23,10
203,50,4
225,41,14
238,52,14
238,71,4
260,28,6
281,47,8
281,63,3
308,70,11
320,86,14
320,109,7
348,54,9
364,34,12
364,101,8
377,26,13
398,43,11
398,63,8
408,31,10
428,44,13
428,82,4
455,10,17
484,43,11
484,58,4
511,68,15
526,51,7
526,112,5
541,63,12
552,74,9
552,96,3
563,57,9
592,89,13
592,103,5
612,66,7
634,86,15
634,116,4
651,104,11
678,127,16
678,154,7
706,91,14
732,123,9
732,142,5
748,138,12
761,147,17
761,172,3
771,128,16
800,105,11
800,181,6
810,111,15
825,129,8
825,147,7
835,138,13
859,108,15
859,191,7
878,90,15
891,101,10
891,124,3
907,117,12
927,136,17
927,162,5
946,113,13
967,129,13
967,161,5
996,93,11
1007,106,14
1007,130,8
1022,121,14
1032,132,7
1032,152,9
1048,113,10
1074,138,7
1074,162,3
1084,148,8
1100,164,11
1100,181,8
1129,130,11
1149,152,10
1149,173,5
1173,176,12
1194,193,14
1194,212,4
1220,161,9
1239,183,7
1239,201,6
1249,190,16
1278,223,12
1278,243,4
1298,101,109
