81,23
21,5
28,0
72,5
21,96
42,34
50,14
85,97
19,34
78,24
78,82
0,73
69,25
12,100
1,82
73,45
15,94
16,4
94,55
14,67
45,41
46,94
40,5
30,67
5,62
46,1
17,79
30,13
74,95
99,17
24,7
89,9
81,92
37,84
93,74
1,24
24,45
68,96
54,68
63,74
34,73
30,4
49,81
74,13
15,8
2,66
45,97
97,37
22,5
61,0
27,65
82,41
66,66
70,45
43,95
0,36
32,1
45,55
99,11
28,96
84,59
74,91
5,39
61,96
5,98
5,12
55,38
1,77
97,51
30,9
41,24
27,58
61,11
69,15
68,57
96,85
88,25
33,57
94,7
86,93
84,99
60,39
84,67
34,80
34,72
15,14
50,78
85,95
16,66
50,70
80,15
63,26
65,91
58,1
64,6
66,95
19,44
20,31
95,77
74,79
