-49,-44
-76,85
-41,68
12,-26
6,91
-65,37
-58,26
48,-61
-76,-26
-32,-78
-3,39
-1,-8
-23,27
33,95
-55,-63
79,4
-22,-56
81,-40
-24,98
-81,87
-15,-72
-85,28
-73,29
-89,-68
-83,98
-2,-46
36,-49
50,-93
23,52
96,-99
-91,-13
37,-59
24,29
44,-52
59,95
48,-1
-40,27
-59,7
22,-37
6,89
56,-72
73,-43
26,-75
98,91
-83,-53
45,-60
91,17
-13,-56
-15,-97
64,37
5,6
99,-16
35,36
20,84
9,16
-42,91
9,10
-100,-52
-87,-83
35,-1
52,-90
52,65
-88,96
59,-24
-98,-36
-80,48
90,-23
-31,74
81,90
81,29
-47,-50
-4,-15
9,-12
-79,-38
88,71
-15,28
-20,28
-3,-57
72,96
-5,-61
3,96
-93,60
41,-49
-11,38
-67,27
-22,46
-22,-65
-15,-50
72,-13
82,-94
30,-88
78,-84
26,80
95,-85
-73,72
-36,96
78,82
28,-22
69,65
-97,-9
5,-30
73,-19
89,-70
-11,-92
-41,35
61,-89
75,-9
66,-43
79,-62
68,-42
-84,82
-53,38
84,-15
23,-28
48,41
81,-11
65,-52
48,-62
-56,88
-89,-69
28,52
42,-43
34,17
-68,-23
-5,-23
-42,76
-67,-19
-50,-92
-48,-14
-67,43
-84,12
97,37
65,74
-89,47
78,-51
67,32
-19,54
-61,68
-22,-84
64,-51
16,52
-67,-62
-49,4
-7,-7
-23,-70
-72,28
90,87
-48,74
-88,-47
-20,98
-99,54
-27,-33
-97,-51
-25,-85
58,6
71,-9
-72,-74
76,46
8,-9
-79,-84
23,-14
-98,23
43,-25
79,-5
94,94
-95,-89
79,-59
-6,33
44,-60
92,9
89,-15
-17,-36
-97,44
-14,-56
8,-33
-14,51
-81,-5
51,-36
-74,-15
100,36
59,91
40,-42
-45,-67
92,79
19,-87
-32,-99
-51,-42
47,77
80,-51
-20,32
-71,-32
76,-86
77,98
-100,23
-36,5
87,-35
32,29
63,-43
-60,-49
54,92
13,69
-29,-4
-6,16
-68,71
-50,84
97,-65
12,2
77,-32
65,-64
-98,26
33,-63
-93,-92
-6,100
-24,56
-85,-86
89,0
-9,79
15,-64
40,55
-72,42
2,-25
94,-57
-31,78
-89,13
24,30
4,38
98,61
63,-70
-93,-23
93,58
21,-73
17,80
70,-74
-84,11
-16,-54
-69,25
69,46
48,-29
-14,9
-91,-6
60,9
100,-35
-27,56
66,34
95,36
45,14
77,91
88,-49
-58,83
13,-58
-21,-25
74,2
-35,21
-49,-17
-88,-7
26,6
53,-7
-20,-39
-45,-5
40,-24
53,-57
-6,4
-37,-100
-41,-25
76,-94
-33,-93
50,1
90,97
67,-92
-79,0
67,17
34,80
44,-14
-35,18
1,-58
-47,51
45,50
6,-30
43,49
-84,56
96,56
-45,-69
97,95
-56,-26
-77,12
-11,70
40,74
-76,-4
60,96
92,-15
-49,-40
-38,97
-97,16
75,78
-74,20
53,49
9,91
73,72
85,-87
21,46
46,-68
100,89
81,-58
-97,77
75,-80
-84,-65
97,98
61,98
32,-20
-91,-44
-86,89
97,-56
-25,42
-67,35
43,-99
-90,67
